project_id,mp_name,house,state,constituency,elected_or_nominated,district,area,project_type,recommendation_start_date,expected_sanction_date,snapshot_date,duration_days,sanctioned_amount_inr,released_amount_inr,expenditure_amount_inr,payment_count,physical_progress_pct,expected_progress_pct,delay_days,cost_deviation_pct,completion_status,description,duplicate_group_id,mp_allocated_amount_inr,state_2016_17_sanctioned_crore,state_2016_17_works,state_2018_19_sanctioned_crore,state_2018_19_works,state_2019_20_sanctioned_crore,state_2019_20_works,state_2019_20_expenditure_crore,state_2019_20_completed_works,fund_utilization_pct,unspent_amount_inr,unspent_ratio,progress_gap_pct,peer_cost_zscore,peer_progress_zscore,completion_efficiency_score,mp_completion_efficiency_avg,state_completion_efficiency_avg,payment_velocity_per_30d,early_payment_share,sanction_to_release_days,recommendation_to_sanction_days,vendor_id,latitude,longitude,geo_source,is_anomaly,anomaly_type
MPLADS-00001,AFZALANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,Elected MP,District-31,Village-46,Bridge/Culvert,2018-03-23,2018-04-18,2024-03-31,648,514203.35,414087.9,362748.63,4,47.25,88.92,1532,-29.45,In Progress,"Bridge, culvert and connectivity work at Village-46, District-31, Uttar Pradesh",,266000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,70.55,151454.72,0.2945,41.67,0.2439,-0.6968,47.25,66.18,64.94,0.1852,0.2371,21,26,VEND-SYN-0708,14.010224,93.777178,synthetic_placeholder,1,rule_flagged_other
MPLADS-00002,BKPARTHASARATHI,Lok Sabha,Andhra Pradesh,HINDUPUR,Elected MP,District-34,Village-36,School Infrastructure,2021-10-18,2022-01-07,2024-03-31,648,676797.74,585781.05,518899.83,24,60.92,98.26,168,-23.33,In Progress,"Construction or repair of school infrastructure at Village-36, District-34, Andhra Pradesh",,266000000,172.8,5206,184.04,4780,202.26,3888,116.04,3542,76.67,157897.91,0.2333,37.34,0.4594,-0.2219,60.92,69.12,66.5,1.1111,0.2075,14,81,VEND-SYN-0905,12.041347,93.486767,synthetic_placeholder,1,payment_anomaly
MPLADS-00003,Giriraj Singh,Lok Sabha,Bihar,BEGUSARAI,Elected MP,District-12,Town-13,Sanitation,2020-06-22,2020-11-09,2024-03-31,606,686834.48,620267.01,438169.09,7,100,99.44,627,-36.2,Completed,"Community sanitation and drainage at Town-13, District-12, Bihar",,266000000,345.2,5391,422.23,7670,411.45,5142,172.24,3955,63.8,248665.39,0.362,-0.56,-0.0866,1.3618,100,65.47,64.34,0.3465,0.2714,99,140,VEND-SYN-0642,24.389889,95.15989,synthetic_placeholder,0,none
MPLADS-00004,Ashok Kumar Rawat,Lok Sabha,Uttar Pradesh,MISRIKH(SC),Elected MP,District-39,Gram Panchayat-16,Bridge/Culvert,2018-12-02,2019-02-06,2024-03-31,364,222539.07,185569.46,155407.06,3,27.14,56.96,1538,-30.17,In Progress,"Bridge, culvert and connectivity work at Gram Panchayat-16, District-39, Uttar Pradesh",,277000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,69.83,67132.01,0.3017,29.82,0.2044,-1.518,27.14,62.92,64.94,0.2473,0.3659,37,66,VEND-SYN-0395,18.564689,85.323791,synthetic_placeholder,1,rule_flagged_other
MPLADS-00005,ANILBALUNI,Lok Sabha,Uttarakhand,GARHWAL,Elected MP,District-22,Gram Panchayat-44,Road Construction,2018-05-18,2018-06-17,2024-03-31,607,242636.56,178901.87,137459.0,3,41.84,51.14,1548,-43.35,In Progress,"Road construction and repair at Gram Panchayat-44, District-22, Uttarakhand",,73500000,39.21,1741,35.88,1381,37.26,1151,31.08,1460,56.65,105177.56,0.4335,9.3,-0.2669,-1.2258,41.84,64.7,65.03,0.1483,0.1609,116,30,VEND-SYN-0027,35.027019,84.558212,synthetic_placeholder,0,none
MPLADS-00006,Gajendra Singh Shekhawat,Lok Sabha,Rajasthan,JODHPUR,Elected MP,District-10,Town-1,School Infrastructure,2020-05-05,2020-09-17,2024-03-31,164,1156561.74,868466.28,616748.86,4,87.31,83.22,1088,-46.67,In Progress,"Construction or repair of school infrastructure at Town-1, District-10, Rajasthan",,170000000,161.14,2060,177.23,2786,188.24,2997,100.53,1983,53.33,539812.88,0.4667,-4.09,-0.7692,0.8668,87.31,64.26,66.69,0.7317,0.6423,38,135,VEND-SYN-0585,31.71585,71.07415,synthetic_placeholder,0,none
MPLADS-00007,Bansuri Swaraj,Lok Sabha,Delhi,NEW DELHI,Elected MP,District-09,Town-22,Health Centre,2019-01-21,2019-03-18,2024-03-31,663,1506673.91,1218166.98,705087.99,3,81.03,93.36,1205,-53.2,In Progress,"Primary health centre and medical facility at Town-22, District-09, Delhi",,277000000,32.32,50,56.69,171,94.64,417,43.39,331,46.8,801585.92,0.532,12.33,-1.1537,0.5178,81.03,65.07,65.73,0.1357,0.2774,73,56,VEND-SYN-0559,33.948495,73.460179,synthetic_placeholder,0,none
MPLADS-00008,BALRAM NAIK PORIKA,Lok Sabha,Telangana,MAHABUBABAD,Elected MP,District-24,Block-7,School Infrastructure,2022-06-10,2022-08-07,2024-03-31,223,348396.2,280911.03,256683.02,4,46.73,67.37,359,-26.32,In Progress,"Construction or repair of school infrastructure at Block-7, District-24, Telangana",,98000000,102.38,3455,124.28,3839,104.59,3331,68.12,2195,73.68,91713.18,0.2632,20.64,0.3622,-0.754,46.73,64.06,64.53,0.5381,0.5781,101,58,VEND-SYN-0111,31.157949,92.791154,synthetic_placeholder,0,none
MPLADS-00009,"DARSHAN SINGH CHOUDH,",Lok Sabha,Madhya Pradesh,HOSHANGABAD,Elected MP,District-61,Gram Panchayat-33,Street Lighting,2018-02-27,2018-04-30,2024-03-31,699,349769.81,287031.98,254561.56,6,59.88,65.43,1413,-27.22,In Progress,"Street lighting and electrification at Gram Panchayat-33, District-61, Madhya Pradesh",,196000000,204.36,6032,215.52,6353,239.56,7587,120.02,4586,72.78,95208.25,0.2722,5.55,0.521,-0.362,59.88,64.81,64.56,0.2575,0.3706,50,62,VEND-SYN-0075,20.431243,87.776087,synthetic_placeholder,0,none
MPLADS-00010,Ashok Kumar Rawat,Lok Sabha,Uttar Pradesh,MISRIKH(SC),Elected MP,District-54,Village-19,Bridge/Culvert,2023-05-20,2023-07-10,2024-03-31,230,369743.48,358755.85,260740.27,4,92.0,98.65,10,-29.48,In Progress,"Bridge, culvert and connectivity work at Village-19, District-54, Uttar Pradesh",,98000000,503.59,13244,483.89,17216,920.88,21703,236.7,8304,70.52,109003.21,0.2948,6.65,0.2424,1.1305,92.0,62.92,64.94,0.5217,0.2953,46,51,VEND-SYN-0764,19.135404,87.936418,synthetic_placeholder,0,none
